name,address,category,notes
Momo House,"2456 Bancroft Way, Berkeley, CA 94704",food,good dumpling
Noodle Dynasty,"2426 Telegraph Ave, Berkeley, CA 94704",food,good noodle soup
Artichoke Basille's Pizza,"2590 Durant Ave, Berkeley, CA 94704",food,good pizza
Top Dog,"2534 Durant Ave, Berkeley, CA 94704",food,good hot dog
IB's,"2513 Durant Ave, Berkeley, CA 94704",food,good fries
Mezzo,"2442 Telegraph Ave, Berkeley, CA 94704",food,good sandwich
Champion's CURRY,"2506 Channing Way, Berkeley, CA 94704",food,good curry
Moku Hawaiian BBQ (Berkeley),"2488 Channing Way, Berkeley, CA 94704",food,good katsu
Binge Coffee House Telegraph,"2528A Durant Ave, Berkeley, CA 94704",food,good matcha
Zhangliang Malatang,"2237 Shattuck Ave., Berkeley, CA 94704",food,good hotpot